Date : 2025-04-22 13:44:20
Directory : /home/ehosta/Documents/42-minishell
Total : 147 files,  4676 codes, 1830 comments, 860 blanks, all 7366 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| /home/ehosta/Documents/42-minishell/src/parsing/tokenizer/token_list.c        | C        |         78 |         25 |          8 |        111 |
| /home/ehosta/Documents/42-minishell/src/utils/empty_tab.c                     | C        |          6 |         11 |          4 |         21 |
| /home/ehosta/Documents/42-minishell/src/utils/ft_sprintf.c                    | C        |         75 |         11 |         11 |         97 |
| /home/ehosta/Documents/42-minishell/src/utils/parsing/count_arg_words.c       | C        |         17 |         11 |          4 |         32 |
| /home/ehosta/Documents/42-minishell/src/utils/parsing/free_str_return_null.c  | C        |          6 |         11 |          3 |         20 |
| /home/ehosta/Documents/42-minishell/src/utils/parsing/ft_split_parser.c       | C        |         69 |         11 |         10 |         90 |
| /home/ehosta/Documents/42-minishell/src/utils/parsing/ft_str_join_free.c      | C        |         31 |         11 |          5 |         47 |
| /home/ehosta/Documents/42-minishell/src/utils/parsing/ft_strcmp.c             | C        |         11 |         11 |          4 |         26 |
| /home/ehosta/Documents/42-minishell/src/utils/parsing/get_first_word.c        | C        |         16 |         11 |          4 |         31 |
| /home/ehosta/Documents/42-minishell/src/utils/parsing/handle_is_redir_token.c | C        |         15 |         11 |          3 |         29 |
| /home/ehosta/Documents/42-minishell/src/utils/parsing/incr_on_alnum.c         | C        |          0 |          0 |          1 |          1 |
| /home/ehosta/Documents/42-minishell/src/utils/parsing/is_redir.c              | C        |          6 |         11 |          3 |         20 |
| /home/ehosta/Documents/42-minishell/src/utils/parsing/join_token_to_string.c  | C        |         19 |         11 |          4 |         34 |
| /home/ehosta/Documents/42-minishell/src/utils/parsing/print_t_token_list.c    | C        |         19 |         14 |          4 |         37 |
| /home/ehosta/Documents/42-minishell/src/utils/parsing/skip_spaces.c           | C        |          6 |         11 |          3 |         20 |
| /home/ehosta/Documents/42-minishell/src/utils/parsing/token_lstsize.c         | C        |         14 |         11 |          4 |         29 |
| Total                                                                         |          |      4,676 |      1,830 |        860 |      7,366 |
+-------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
